Country,date,total_cases_per_million,total_deaths_per_million,GDP_per_capita,GDP_Status,death_category
United Arab Emirates,2022-04-25,94998.294,243.827,67293.483,High,200 - 1999 Dead
United Kingdom,2022-04-25,325403.366,2907.956,39753.244,High,200 - 1999 Dead
United States,2022-04-25,237215.195,2917.282,54225.446,High,200 - 1999 Dead
Uruguay,2022-04-25,262319.753,2104.42,20551.409,Average,200 - 1999 Dead
Uzbekistan,2022-04-25,4531.206,29.341,6253.104,Lowest,Under 200 Dead
Vanuatu,2022-04-25,21001.151,36.726,2921.909,Lowest,Under 200 Dead
Venezuela,2022-04-25,18447.231,201.578,16745.022,Low,200 - 1999 Dead
Vietnam,2022-04-25,107585.704,438.073,6171.884,Lowest,200 - 1999 Dead
Wallis and Futuna,2022-04-25,39151.432,603.656,NA,NA,200 - 1999 Dead
Yemen,2022-04-25,350.718,63.745,1479.147,Lowest,Under 200 Dead
Zambia,2022-04-25,15935.121,198.525,3689.251,Lowest,Under 200 Dead
Zimbabwe,2022-04-25,15166.411,335.038,1899.775,Lowest,200 - 1999 Dead
